"시점","항목",전국
"2006.01","지수 (2017.11 = 100.0)",60.0
"2006.02","지수 (2017.11 = 100.0)",60.5
"2006.03","지수 (2017.11 = 100.0)",61.2
"2006.04","지수 (2017.11 = 100.0)",61.6
"2006.05","지수 (2017.11 = 100.0)",62.0
"2006.06","지수 (2017.11 = 100.0)",62.5
"2006.07","지수 (2017.11 = 100.0)",62.6
"2006.08","지수 (2017.11 = 100.0)",63.4
"2006.09","지수 (2017.11 = 100.0)",64.6
"2006.10","지수 (2017.11 = 100.0)",67.2
"2006.11","지수 (2017.11 = 100.0)",69.8
"2006.12","지수 (2017.11 = 100.0)",70.9
"2007.01","지수 (2017.11 = 100.0)",72.0
"2007.02","지수 (2017.11 = 100.0)",71.9
"2007.03","지수 (2017.11 = 100.0)",72.2
"2007.04","지수 (2017.11 = 100.0)",72.1
"2007.05","지수 (2017.11 = 100.0)",71.5
"2007.06","지수 (2017.11 = 100.0)",72.0
"2007.07","지수 (2017.11 = 100.0)",72.6
"2007.08","지수 (2017.11 = 100.0)",73.2
"2007.09","지수 (2017.11 = 100.0)",73.7
"2007.10","지수 (2017.11 = 100.0)",74.0
"2007.11","지수 (2017.11 = 100.0)",74.0
"2007.12","지수 (2017.11 = 100.0)",74.1
"2008.01","지수 (2017.11 = 100.0)",74.9
"2008.02","지수 (2017.11 = 100.0)",75.4
"2008.03","지수 (2017.11 = 100.0)",76.7
"2008.04","지수 (2017.11 = 100.0)",77.8
"2008.05","지수 (2017.11 = 100.0)",78.7
"2008.06","지수 (2017.11 = 100.0)",79.3
"2008.07","지수 (2017.11 = 100.0)",79.4
"2008.08","지수 (2017.11 = 100.0)",79.3
"2008.09","지수 (2017.11 = 100.0)",78.6
"2008.10","지수 (2017.11 = 100.0)",76.7
"2008.11","지수 (2017.11 = 100.0)",74.0
"2008.12","지수 (2017.11 = 100.0)",71.1
"2009.01","지수 (2017.11 = 100.0)",71.4
"2009.02","지수 (2017.11 = 100.0)",72.7
"2009.03","지수 (2017.11 = 100.0)",73.3
"2009.04","지수 (2017.11 = 100.0)",74.3
"2009.05","지수 (2017.11 = 100.0)",75.4
"2009.06","지수 (2017.11 = 100.0)",76.3
"2009.07","지수 (2017.11 = 100.0)",77.1
"2009.08","지수 (2017.11 = 100.0)",78.2
"2009.09","지수 (2017.11 = 100.0)",79.0
"2009.10","지수 (2017.11 = 100.0)",78.9
"2009.11","지수 (2017.11 = 100.0)",78.3
"2009.12","지수 (2017.11 = 100.0)",77.8
"2010.01","지수 (2017.11 = 100.0)",78.6
"2010.02","지수 (2017.11 = 100.0)",78.7
"2010.03","지수 (2017.11 = 100.0)",78.5
"2010.04","지수 (2017.11 = 100.0)",77.8
"2010.05","지수 (2017.11 = 100.0)",77.2
"2010.06","지수 (2017.11 = 100.0)",77.0
"2010.07","지수 (2017.11 = 100.0)",76.6
"2010.08","지수 (2017.11 = 100.0)",76.5
"2010.09","지수 (2017.11 = 100.0)",77.1
"2010.10","지수 (2017.11 = 100.0)",77.6
"2010.11","지수 (2017.11 = 100.0)",78.3
"2010.12","지수 (2017.11 = 100.0)",79.1
"2011.01","지수 (2017.11 = 100.0)",80.4
"2011.02","지수 (2017.11 = 100.0)",81.8
"2011.03","지수 (2017.11 = 100.0)",82.8
"2011.04","지수 (2017.11 = 100.0)",83.2
"2011.05","지수 (2017.11 = 100.0)",83.5
"2011.06","지수 (2017.11 = 100.0)",83.8
"2011.07","지수 (2017.11 = 100.0)",84.2
"2011.08","지수 (2017.11 = 100.0)",84.9
"2011.09","지수 (2017.11 = 100.0)",85.5
"2011.10","지수 (2017.11 = 100.0)",85.4
"2011.11","지수 (2017.11 = 100.0)",84.9
"2011.12","지수 (2017.11 = 100.0)",84.3
"2012.01","지수 (2017.11 = 100.0)",85.1
"2012.02","지수 (2017.11 = 100.0)",85.2
"2012.03","지수 (2017.11 = 100.0)",85.0
"2012.04","지수 (2017.11 = 100.0)",84.6
"2012.05","지수 (2017.11 = 100.0)",84.4
"2012.06","지수 (2017.11 = 100.0)",84.1
"2012.07","지수 (2017.11 = 100.0)",83.4
"2012.08","지수 (2017.11 = 100.0)",83.3
"2012.09","지수 (2017.11 = 100.0)",83.3
"2012.10","지수 (2017.11 = 100.0)",83.3
"2012.11","지수 (2017.11 = 100.0)",82.9
"2012.12","지수 (2017.11 = 100.0)",82.0
"2013.01","지수 (2017.11 = 100.0)",83.0
"2013.02","지수 (2017.11 = 100.0)",83.0
"2013.03","지수 (2017.11 = 100.0)",83.5
"2013.04","지수 (2017.11 = 100.0)",83.8
"2013.05","지수 (2017.11 = 100.0)",83.9
"2013.06","지수 (2017.11 = 100.0)",83.7
"2013.07","지수 (2017.11 = 100.0)",84.3
"2013.08","지수 (2017.11 = 100.0)",84.6
"2013.09","지수 (2017.11 = 100.0)",85.2
"2013.10","지수 (2017.11 = 100.0)",85.7
"2013.11","지수 (2017.11 = 100.0)",85.7
"2013.12","지수 (2017.11 = 100.0)",85.6
"2014.01","지수 (2017.11 = 100.0)",86.3
"2014.02","지수 (2017.11 = 100.0)",86.8
"2014.03","지수 (2017.11 = 100.0)",87.4
"2014.04","지수 (2017.11 = 100.0)",87.4
"2014.05","지수 (2017.11 = 100.0)",87.4
"2014.06","지수 (2017.11 = 100.0)",87.4
"2014.07","지수 (2017.11 = 100.0)",87.6
"2014.08","지수 (2017.11 = 100.0)",88.2
"2014.09","지수 (2017.11 = 100.0)",88.8
"2014.10","지수 (2017.11 = 100.0)",89.4
"2014.11","지수 (2017.11 = 100.0)",89.7
"2014.12","지수 (2017.11 = 100.0)",89.9
"2015.01","지수 (2017.11 = 100.0)",90.5
"2015.02","지수 (2017.11 = 100.0)",91.1
"2015.03","지수 (2017.11 = 100.0)",92.0
"2015.04","지수 (2017.11 = 100.0)",92.7
"2015.05","지수 (2017.11 = 100.0)",93.3
"2015.06","지수 (2017.11 = 100.0)",93.8
"2015.07","지수 (2017.11 = 100.0)",94.7
"2015.08","지수 (2017.11 = 100.0)",95.4
"2015.09","지수 (2017.11 = 100.0)",96.0
"2015.10","지수 (2017.11 = 100.0)",96.4
"2015.11","지수 (2017.11 = 100.0)",96.4
"2015.12","지수 (2017.11 = 100.0)",95.8
"2016.01","지수 (2017.11 = 100.0)",95.7
"2016.02","지수 (2017.11 = 100.0)",95.8
"2016.03","지수 (2017.11 = 100.0)",95.7
"2016.04","지수 (2017.11 = 100.0)",95.7
"2016.05","지수 (2017.11 = 100.0)",95.7
"2016.06","지수 (2017.11 = 100.0)",96.0
"2016.07","지수 (2017.11 = 100.0)",96.6
"2016.08","지수 (2017.11 = 100.0)",97.2
"2016.09","지수 (2017.11 = 100.0)",98.1
"2016.10","지수 (2017.11 = 100.0)",98.8
"2016.11","지수 (2017.11 = 100.0)",98.9
"2016.12","지수 (2017.11 = 100.0)",98.6
"2017.01","지수 (2017.11 = 100.0)",98.3
"2017.02","지수 (2017.11 = 100.0)",98.5
"2017.03","지수 (2017.11 = 100.0)",98.7
"2017.04","지수 (2017.11 = 100.0)",98.6
"2017.05","지수 (2017.11 = 100.0)",98.9
"2017.06","지수 (2017.11 = 100.0)",99.4
"2017.07","지수 (2017.11 = 100.0)",100.1
"2017.08","지수 (2017.11 = 100.0)",100.2
"2017.09","지수 (2017.11 = 100.0)",100.3
"2017.10","지수 (2017.11 = 100.0)",100.3
"2017.11","지수 (2017.11 = 100.0)",100.0
"2017.12","지수 (2017.11 = 100.0)",99.6
"2018.01","지수 (2017.11 = 100.0)",99.8
"2018.02","지수 (2017.11 = 100.0)",100.1
"2018.03","지수 (2017.11 = 100.0)",100.2
"2018.04","지수 (2017.11 = 100.0)",100.2
"2018.05","지수 (2017.11 = 100.0)",99.9
"2018.06","지수 (2017.11 = 100.0)",99.7
"2018.07","지수 (2017.11 = 100.0)",99.6
"2018.08","지수 (2017.11 = 100.0)",100.8
"2018.09","지수 (2017.11 = 100.0)",102.2
"2018.10","지수 (2017.11 = 100.0)",102.4
"2018.11","지수 (2017.11 = 100.0)",101.6
"2018.12","지수 (2017.11 = 100.0)",100.8
"2019.01","지수 (2017.11 = 100.0)",100.3
"2019.02","지수 (2017.11 = 100.0)",99.9
"2019.03","지수 (2017.11 = 100.0)",99.2
"2019.04","지수 (2017.11 = 100.0)",99.0
"2019.05","지수 (2017.11 = 100.0)",98.8
"2019.06","지수 (2017.11 = 100.0)",99.1
"2019.07","지수 (2017.11 = 100.0)",99.6
"2019.08","지수 (2017.11 = 100.0)",99.9
"2019.09","지수 (2017.11 = 100.0)",100.3
"2019.10","지수 (2017.11 = 100.0)",100.8
"2019.11","지수 (2017.11 = 100.0)",101.7
"2019.12","지수 (2017.11 = 100.0)",102.7
"2020.01","지수 (2017.11 = 100.0)",103.4
"2020.02","지수 (2017.11 = 100.0)",104.7
"2020.03","지수 (2017.11 = 100.0)",105.5
"2020.04","지수 (2017.11 = 100.0)",105.5
"2020.05","지수 (2017.11 = 100.0)",106.3
"2020.06","지수 (2017.11 = 100.0)",108.3
"2020.07","지수 (2017.11 = 100.0)",110.7
"2020.08","지수 (2017.11 = 100.0)",112.0
"2020.09","지수 (2017.11 = 100.0)",112.9
"2020.10","지수 (2017.11 = 100.0)",114.4
"2020.11","지수 (2017.11 = 100.0)",117.0
"2020.12","지수 (2017.11 = 100.0)",119.8
"2021.01","지수 (2017.11 = 100.0)",122.9
"2021.02","지수 (2017.11 = 100.0)",125.1
"2021.03","지수 (2017.11 = 100.0)",126.7
"2021.04","지수 (2017.11 = 100.0)",128.3
"2021.05","지수 (2017.11 = 100.0)",130.5
"2021.06","지수 (2017.11 = 100.0)",133.4
"2021.07","지수 (2017.11 = 100.0)",136.5
"2021.08","지수 (2017.11 = 100.0)",139.7
"2021.09","지수 (2017.11 = 100.0)",142.3
"2021.10","지수 (2017.11 = 100.0)",143.8
"2021.11","지수 (2017.11 = 100.0)",143.0
"2021.12","지수 (2017.11 = 100.0)",141.7
"2022.01","지수 (2017.11 = 100.0)",140.8
"2022.02","지수 (2017.11 = 100.0)",140.6
"2022.03","지수 (2017.11 = 100.0)",141.1
"2022.04","지수 (2017.11 = 100.0)",141.9
"2022.05","지수 (2017.11 = 100.0)",140.6
"2022.06","지수 (2017.11 = 100.0)",140.0
"2022.07","지수 (2017.11 = 100.0)",136.3
"2022.08","지수 (2017.11 = 100.0)",133.7
"2022.09","지수 (2017.11 = 100.0)",130.9
"2022.10","지수 (2017.11 = 100.0)",126.6
"2022.11","지수 (2017.11 = 100.0)",121.3
